Estado,State,Medio,Media Outlet,Ciudad,City,Dirección,Zip Code,Latitud,Longitud,Formato,Format,Idioma,Language,Contenido,Content,Web,Año de fundación ,Dueño/Tipo de propiedad,Owner/Type of Ownership,Audiencia/circulación,Audience/circulation,Fuentes de ingresos,Sources of Revenue,Número de empleados/Number of employees,Frecuencia,Frequency,Facebook,Twitter,Instagram,YouTube,Otra red social
Illinois,Illinois,Cicero Independiente,Cicero Independiente,Cicero,Cicero,,60804,41.8484,-87.7665,Web,Web,Español/Inglés,Spanish/English,Noticias,News,http://www.ciceroindependiente.com/,2019,Sin ánimo de lucro,Nonprofit,"Impreso: 5,000 - 9,999. Boletín: 400","Print: 5,000 - 9,999. Newsletter: 400","Donaciones/Subvenciones, Financiamiento de fundación","Donations/grants, Foundation funding",1-5,Semanal,Weekly,https://www.facebook.com/CiceroIndependiente,https://twitter.com/CiceroNoticias,https://www.instagram.com/ciceroindependiente/,,
Indiana,Indiana,El Mexicano News,El Mexicano News,Fort Wayne,Fort Wayne,"2301 Fairfield Ave., Suite 102",46807,41.064053,-85.144807,Periódico,Newspaper,Español,Spanish,,,http://elmexicanonews.com/contacto/,,,,,,,,,,,https://www.facebook.com/elmexicanonews/,https://twitter.com/ElMexicanoNews,,,
Indiana,Indiana,La Voz de Indiana,La Voz de Indiana,Indianapolis,Indianapolis,2911 West Washington St.,46222,39.764971,-86.208215,Periódico,Newspaper,Español/Inglés,Spanish/English,,,https://www.lavozdeindiana.com/,1999,,,,,,,,,,https://www.facebook.com/lavoz.deindiana/,https://twitter.com/@lavozdeindiana,,,
Indiana,Indiana,El Puente,El Puente,Goshen,Goshen,PO Box 553,46527-0553,41.590265,-85.840086,Periódico,Newspaper,Español/Inglés,Spanish/English,,,http://www.webelpuente.com/,2001,,,,,,,,,,https://www.facebook.com/ELPUENTENEWS/,https://twitter.com/ELPUENTENEWS,https://www.instagram.com/elpuentenews/,,
Indiana,Indiana,"¿Qué Pasa, Midwest?","¿Qué Pasa, Midwest?",Evansville,Evansville,2 Main St.,47708,37.9695443,-87.575329,Podcast,Podcast,Español/Inglés,Spanish/English,Arte y Cultura,Arts and Culture,https://www.quepasapodcast.com/,2016,Afiliada o subsidiaria local de una corporación nacional,Local affiliate or subsidiary of a national corporation,"Impreso: 20,000 - 49,999. Podcast: 2,000. Boletín: 50. Web: 100","Print: 20,000 - 49,999. Podcast: 2,000. Newsletter: 50. Web: 100","Financiamiento privado, Membresías, Donaciones/Subvenciones, Patrocinadores corporativos, Cobros por contenido","Private funding, Memberships, Donations/Grants, Corporate sponsors, Chargefor content",1-5,Bisemanal,Bi-weekly,https://www.facebook.com/quepasamidwest/,https://twitter.com/QuePasaMidwest,https://www.instagram.com/quepasamidwest/,,
Indiana,Indiana,Telemundo Indy,Telemundo Indy,Indianapolis,Indianapolis,21 East St. Joseph's St.,46204,39.780302,-86.156814,TV,TV,Español,Spanish,,,https://telemundoindy.com/,,Radio One,Radio One,,,,,,,,https://www.facebook.com/TelemundoIndy/,https://twitter.com/TelemundoIndy,https://www.instagram.com/telemundoindy/,,
Indiana,Indiana,La Ola Latino-Americana,La Ola Latino-Americana,Indianapolis,Indianapolis,4670 W Washington St.,46241,39.756391,-86.240128,Periódico,Newspaper,Español/Inglés,Spanish/English,,,http://www.laolalatinaindy.com/,,,,,,,,,,,https://www.facebook.com/laola.latinoamericana/,,,,
Indiana,Indiana,Hola Bloomington,Hola Bloomington,Bloomington,Bloomington,108 West Fourth St.,47404,39.165609,-86.534558,Radio,Radio,Español,Spanish,,,http://wfhb.org/?s=hola+bloomington,,,,,,,,,,,https://www.facebook.com/HolaBloomington/,,,,
Indiana,Indiana,WLRS Poder Radio (Corona Spanish Media),WLRS Poder Radio (Corona Spanish Media),Clarksville,Clarksville,220 Potters Lane,47129,38.327718,-85.783133,Radio,Radio,Español,Spanish,"Noticias, Arte y Cultura,  Entretenimiento, Deportes","News, Arts and Culture, Entertainment, Sports",http://poderky.coronaspanishmedia.com/,2011,Medio local independiente,Local independent media,"Radio: 50,000","Radio: 50,000",Publicidad,Advertising,,Diario,Daily,https://www.facebook.com/poderky/,,https://www.instagram.com/poderky_fm/,,
Iowa,Iowa,El Heraldo Hispano,El Heraldo Hispano,Mount Pleasant,Mount Pleasant,PO Box 927,52641,40.988314,-91.559794,Periódico,Newspaper,Español,Spanish,,,http://heraldohispano.com/index.php/es/,,,,,,,,,,,https://www.facebook.com/elheraldohispano/,https://twitter.com/HeraldoHispano,https://www.instagram.com/heraldohispano2017/,,
